facility_name,facility_code,sub_county,county,l0_team,l1_team
,,Changamwe,Mombasa,Changamwe Sub-County Team,Mombasa County Team
,,Jomvu,Mombasa,Jomvu Sub-County Team,Mombasa County Team
,,Kisauni,Mombasa,Kisauni Sub-County Team,Mombasa County Team
,,Likoni,Mombasa,Likoni Sub-County Team,Mombasa County Team
,,Mvita,Mombasa,Mvita Sub-County Team,Mombasa County Team
,,Nyali,Mombasa,Nyali Sub-County Team,Mombasa County Team
,,Kinango,Kwale,Kinango Sub-County Team,Kwale County Team
,,Lungalunga,Kwale,Lungalunga Sub-County Team,Kwale County Team
,,Matuga,Kwale,Matuga Sub-County Team,Kwale County Team
,,Msambweni,Kwale,Msambweni Sub-County Team,Kwale County Team
,,Ganze,Kilifi,Ganze Sub-County Team,Kilifi County Team
,,Kaloleni,Kilifi,Kaloleni Sub-County Team,Kilifi County Team
,,Kilifi North,Kilifi,Kilifi North Sub-County Team,Kilifi County Team
,,Kilifi South,Kilifi,Kilifi South Sub-County Team,Kilifi County Team
,,Magarini,Kilifi,Magarini Sub-County Team,Kilifi County Team
,,Malindi,Kilifi,Malindi Sub-County Team,Kilifi County Team
,,Rabai,Kilifi,Rabai Sub-County Team,Kilifi County Team
,,Bura,Tana River,Bura Sub-County Team,Tana River County Team
,,Galole,Tana River,Galole Sub-County Team,Tana River County Team
,,Garsen,Tana River,Garsen Sub-County Team,Tana River County Team
,,Lamu East,Lamu,Lamu East Sub-County Team,Lamu County Team
,,Lamu West,Lamu,Lamu West Sub-County Team,Lamu County Team
,,Mwatate,Taita-Taveta,Mwatate Sub-County Team,Taita-Taveta County Team
,,Taveta,Taita-Taveta,Taveta Sub-County Team,Taita-Taveta County Team
,,Voi,Taita-Taveta,Voi Sub-County Team,Taita-Taveta County Team
,,Wundanyi,Taita-Taveta,Wundanyi Sub-County Team,Taita-Taveta County Team
,,Balambala,Garissa,Balambala Sub-County Team,Garissa County Team
,,Daadab,Garissa,Daadab Sub-County Team,Garissa County Team
,,Fafi,Garissa,Fafi Sub-County Team,Garissa County Team
,,Garissa Township,Garissa,Garissa Township Sub-County Team,Garissa County Team
,,Hulugho,Garissa,Hulugho Sub-County Team,Garissa County Team
,,Ijara,Garissa,Ijara Sub-County Team,Garissa County Team
,,Lagdera,Garissa,Lagdera Sub-County Team,Garissa County Team
,,Eldas,Wajir,Eldas Sub-County Team,Wajir County Team
,,Tarbaj,Wajir,Tarbaj Sub-County Team,Wajir County Team
,,Wajir East,Wajir,Wajir East Sub-County Team,Wajir County Team
,,Wajir North,Wajir,Wajir North Sub-County Team,Wajir County Team
,,Wajir South,Wajir,Wajir South Sub-County Team,Wajir County Team
,,Wajir West,Wajir,Wajir West Sub-County Team,Wajir County Team
,,Banissa,Mandera,Banissa Sub-County Team,Mandera County Team
,,Lafey,Mandera,Lafey Sub-County Team,Mandera County Team
,,Mandera East,Mandera,Mandera East Sub-County Team,Mandera County Team
,,Mandera North,Mandera,Mandera North Sub-County Team,Mandera County Team
,,Mandera South,Mandera,Mandera South Sub-County Team,Mandera County Team
,,Mandera West,Mandera,Mandera West Sub-County Team,Mandera County Team
,,Laisamis,Marsabit,Laisamis Sub-County Team,Marsabit County Team
,,Moyale,Marsabit,Moyale Sub-County Team,Marsabit County Team
,,North Horr,Marsabit,North Horr Sub-County Team,Marsabit County Team
,,Saku,Marsabit,Saku Sub-County Team,Marsabit County Team
,,Garbatulla,Isiolo,Garbatulla Sub-County Team,Isiolo County Team
,,Isiolo,Isiolo,Isiolo Sub-County Team,Isiolo County Team
,,Merti,Isiolo,Merti Sub-County Team,Isiolo County Team
,,Buuri,Meru,Buuri Sub-County Team,Meru County Team
,,Igembe Central,Meru,Igembe Central Sub-County Team,Meru County Team
,,Igembe North,Meru,Igembe North Sub-County Team,Meru County Team
,,Igembe South,Meru,Igembe South Sub-County Team,Meru County Team
,,Imenti Central,Meru,Imenti Central Sub-County Team,Meru County Team
,,Imenti North,Meru,Imenti North Sub-County Team,Meru County Team
,,Imenti South,Meru,Imenti South Sub-County Team,Meru County Team
,,Tigania East,Meru,Tigania East Sub-County Team,Meru County Team
,,Tigania West,Meru,Tigania West Sub-County Team,Meru County Team
,,Chuka/Igambangombe,Tharaka-Nithi,Chuka/Igambangombe Sub-County Team,Tharaka-Nithi County Team
,,Maara,Tharaka-Nithi,Maara Sub-County Team,Tharaka-Nithi County Team
,,Tharaka North,Tharaka-Nithi,Tharaka North Sub-County Team,Tharaka-Nithi County Team
,,Tharaka South,Tharaka-Nithi,Tharaka South Sub-County Team,Tharaka-Nithi County Team
,,Embu East,Embu,Embu East Sub-County Team,Embu County Team
,,Embu North,Embu,Embu North Sub-County Team,Embu County Team
,,Embu West,Embu,Embu West Sub-County Team,Embu County Team
,,Manyatta,Embu,Manyatta Sub-County Team,Embu County Team
,,Mbeere North,Embu,Mbeere North Sub-County Team,Embu County Team
,,Mbeere South,Embu,Mbeere South Sub-County Team,Embu County Team
,,Kitui Central,Kitui,Kitui Central Sub-County Team,Kitui County Team
,,Kitui East,Kitui,Kitui East Sub-County Team,Kitui County Team
,,Kitui Rural,Kitui,Kitui Rural Sub-County Team,Kitui County Team
,,Kitui South,Kitui,Kitui South Sub-County Team,Kitui County Team
